"Expert","Biodiversity","Estimate","Scenario","Value"
"9","Mixed Forest","LOWEST","Counterfactual",50
"9","Mixed Forest","HIGHEST","Counterfactual",100
"9","Mixed Forest","BEST GUESS","Counterfactual",90
"10","Freshwater","LOWEST","Counterfactual",40
"10","Freshwater","HIGHEST","Counterfactual",60
"10","Freshwater","BEST GUESS","Counterfactual",55
"10","Wetland","LOWEST","Counterfactual",40
"10","Wetland","HIGHEST","Counterfactual",60
"10","Wetland","BEST GUESS","Counterfactual",55
"10","Coniferous Forest","LOWEST","Counterfactual",NA
"10","Coniferous Forest","HIGHEST","Counterfactual",NA
"10","Coniferous Forest","BEST GUESS","Counterfactual",NA
"10","Mixed Forest","LOWEST","Counterfactual",NA
"10","Mixed Forest","HIGHEST","Counterfactual",NA
"10","Mixed Forest","BEST GUESS","Counterfactual",NA
"1","Freshwater","LOWEST","Action",NA
"1","Freshwater","HIGHEST","Action",NA
"1","Freshwater","BEST GUESS","Action",NA
"1","Wetland","LOWEST","Action",80
"1","Wetland","HIGHEST","Action",90
"1","Wetland","BEST GUESS","Action",85
"1","Coniferous Forest","LOWEST","Action",80
"1","Coniferous Forest","HIGHEST","Action",90
"1","Coniferous Forest","BEST GUESS","Action",85
"1","Mixed Forest","LOWEST","Action",80
"1","Mixed Forest","HIGHEST","Action",90
"1","Mixed Forest","BEST GUESS","Action",85
"2","Freshwater","LOWEST","Action",50
"2","Freshwater","HIGHEST","Action",85
"2","Freshwater","BEST GUESS","Action",75
"2","Wetland","LOWEST","Action",50
"2","Wetland","HIGHEST","Action",85
"2","Wetland","BEST GUESS","Action",75
"2","Coniferous Forest","LOWEST","Action",75
"2","Coniferous Forest","HIGHEST","Action",100
"2","Coniferous Forest","BEST GUESS","Action",85
"2","Mixed Forest","LOWEST","Action",75
"2","Mixed Forest","HIGHEST","Action",100
"2","Mixed Forest","BEST GUESS","Action",85
"3","Freshwater","LOWEST","Action",40
"3","Freshwater","HIGHEST","Action",85
"3","Freshwater","BEST GUESS","Action",75
"3","Wetland","LOWEST","Action",NA
"3","Wetland","HIGHEST","Action",NA
"3","Wetland","BEST GUESS","Action",NA
"3","Coniferous Forest","LOWEST","Action",NA
"3","Coniferous Forest","HIGHEST","Action",NA
"3","Coniferous Forest","BEST GUESS","Action",NA
"3","Mixed Forest","LOWEST","Action",NA
"3","Mixed Forest","HIGHEST","Action",NA
"3","Mixed Forest","BEST GUESS","Action",NA
"4","Freshwater","LOWEST","Action",50
"4","Freshwater","HIGHEST","Action",85
"4","Freshwater","BEST GUESS","Action",75
"4","Wetland","LOWEST","Action",NA
"4","Wetland","HIGHEST","Action",NA
"4","Wetland","BEST GUESS","Action",NA
"4","Coniferous Forest","LOWEST","Action",NA
"4","Coniferous Forest","HIGHEST","Action",NA
"4","Coniferous Forest","BEST GUESS","Action",NA
"4","Mixed Forest","LOWEST","Action",NA
"4","Mixed Forest","HIGHEST","Action",NA
"4","Mixed Forest","BEST GUESS","Action",NA
"5","Freshwater","LOWEST","Action",50
"5","Freshwater","HIGHEST","Action",100
"5","Freshwater","BEST GUESS","Action",90
"5","Wetland","LOWEST","Action",50
"5","Wetland","HIGHEST","Action",100
"5","Wetland","BEST GUESS","Action",90
"5","Coniferous Forest","LOWEST","Action",NA
"5","Coniferous Forest","HIGHEST","Action",NA
"5","Coniferous Forest","BEST GUESS","Action",NA
"5","Mixed Forest","LOWEST","Action",NA
"5","Mixed Forest","HIGHEST","Action",NA
"5","Mixed Forest","BEST GUESS","Action",NA
"6","Freshwater","LOWEST","Action",75
"6","Freshwater","HIGHEST","Action",100
"6","Freshwater","BEST GUESS","Action",85
"6","Wetland","LOWEST","Action",75
